"","Estimate","lwr","upr","p_value","std_error","model"
"LBF - UF31",0.511602902224468,-0.259752686636371,1.28295849108531,0.319782450651778,0.300610655695899,"FD_q1_small_STM"
"SF - UF31",-0.810687809601175,-1.54784626867809,-0.0735293505242612,0.0244493689191381,0.287283440912319,"FD_q1_small_STM"
"LBF - LF31",0.206136916974321,-0.422730279222404,0.835004113171045,0.833221241702528,0.245080456956985,"FD_q1_small_STM"
"SF - LF31",-1.11615379485132,-1.71201828704156,-0.520289302661088,6.06042745876501e-06,0.23221873062169,"FD_q1_small_STM"
"SF - LBF31",-1.32229071182564,-1.92792438072479,-0.7166570429265,1.0040860798366e-07,0.236025948276535,"FD_q1_small_STM"
"LF - UF32",0.345634404843085,-0.396376120416064,1.08764493010223,0.627601678196743,0.289548123125323,"FD_q2_small_STM"
"LBF - UF32",0.540834943978043,-0.256949577696717,1.3386194656528,0.301045450688554,0.311312310332369,"FD_q2_small_STM"
"SF - UF32",-0.742997406080224,-1.50835847950594,0.0223636673454941,0.0605740173676667,0.298659998449755,"FD_q2_small_STM"
"LBF - LF32",0.195200539134958,-0.441185197177168,0.831586275447084,0.859205449781251,0.248331107525123,"FD_q2_small_STM"
"SF - LF32",-1.08863181092331,-1.69448294817397,-0.482780673672648,2.25785002240242e-05,0.236415864347752,"FD_q2_small_STM"
"SF - LBF32",-1.28383235005827,-1.89925673107668,-0.668407969039857,3.55120565398437e-07,0.240151545542038,"FD_q2_small_STM"
"LF - UF33",0.183182027643908,-0.598157546150356,0.964521601438172,0.931242860344939,0.304865371655324,"PD_q0_small_STM"
"LBF - UF33",0.278362452788615,-0.54307795533563,1.09980286091286,0.819842458641502,0.320512033070835,"PD_q0_small_STM"
"SF - UF33",-0.608220302571765,-1.38775496537612,0.171314360232592,0.186417529869774,0.304161126179736,"PD_q0_small_STM"
"LBF - LF33",0.0951804251447074,-0.600529643594596,0.790890493884011,0.985076544004964,0.271454199664545,"PD_q0_small_STM"
"SF - LF33",-0.791402330215673,-1.4444986019849,-0.138306058446444,0.0101515524452447,0.254827023099254,"PD_q0_small_STM"
"SF - LBF33",-0.88658275536038,-1.55241182991667,-0.22075368080409,0.00371203244081686,0.259795145518859,"PD_q0_small_STM"
"LF - UF34",0.08932387472643,-0.629259844125027,0.807907593577887,0.988654341307858,0.28019947075844,"PD_q1_small_STM"
"LBF - UF34",0.160083855381031,-0.608780610652523,0.928948321414585,0.9502139916971,0.299805590936449,"PD_q1_small_STM"
"SF - UF34",-1.05700814323086,-1.79286167489107,-0.321154611570658,0.00128689298127005,0.286933539847624,"PD_q1_small_STM"
"LBF - LF34",0.0707599806546008,-0.550952488420056,0.692472449729258,0.991237301443905,0.242426178368025,"PD_q1_small_STM"
"SF - LF34",-1.14633201795729,-1.73649339245925,-0.556170643455332,4.33570117142068e-06,0.23012336692213,"PD_q1_small_STM"
"SF - LBF34",-1.21709199861189,-1.81675371241949,-0.617430284804301,7.523575401569e-07,0.233827862272677,"PD_q1_small_STM"
"LF - UF35",-0.224607112184375,-0.955029871168734,0.505815646799984,0.858491251580406,0.28476552633814,"PD_q2_small_STM"
