"site2","103_2","103_3","103_5","103_8","112_12","112_3","112_8","125_5","125_6","125_9","129_10","129_11","129_5","157_2","157_3","157_4","157_5","157_6","157_8","160_10","160_11","160_5","160_8","165_1","165_4","165_5","165_7","199_3","199_6","199_9","236_2","236_3","236_4","236_5","236_6","236_7","260_1","260_2","260_3","260_4","260_5","260_6","261_1","261_10","261_11","261_12","261_2","261_3","261_4","261_5","261_6","261_7","261_8","261_9","307_1","307_2","307_3","307_5","307_7","357_2","357_3","357_4","357_6","357_9","363_3","363_4","363_5","363_6","363_7","363_8","399_10","399_12","399_3","399_5","399_6","399_7","399_8","399_9","69_10","69_11","69_2","69_6","69_8","81_11","81_15","81_3","81_7","81_9","99_10","99_4","99_6","99_7","99_8","Extra_1","Extra_2","Extra_3","Extra_4","Extra_5"
"103_2",0,0.868852459016394,0.739130434782609,0.82089552238806,0.927710843373494,0.766666666666667,0.925233644859813,0.787234042553191,0.803921568627451,0.955555555555555,0.745454545454545,0.803921568627451,0.786666666666667,0.89010989010989,0.861386138613861,0.975,0.916666666666667,1,0.818181818181818,0.954545454545455,0.818181818181818,0.923076923076923,0.876923076923077,0.888888888888889,0.868421052631579,0.924050632911392,0.884057971014493,0.89010989010989,0.841269841269841,0.774193548387097,1,0.951807228915663,0.941176470588235,0.956043956043956,0.952941176470588,1,0.958762886597938,0.861111111111111,0.973333333333333,0.978723404255319,0.918918918918919,0.978723404255319,0.940594059405941,0.927710843373494,1,0.97752808988764,0.944444444444444,0.955056179775281,0.951807228915663,0.931818181818182,0.9375,0.956043956043956,0.958333333333333,0.980392156862745,0.96,0.956989247311828,0.91304347826087,0.941176470588235,0.844155844155844,0.89041095890411,0.833333333333333,0.888888888888889,0.818181818181818,0.914893617021277,0.977777777777778,0.934782608695652,0.959183673469388,1,1,0.953488372093023,0.945205479452055,0.923076923076923,1,0.956043956043956,1,0.925925925925926,0.795918367346939,0.924050632911392,0.885714285714286,0.710144927536232,0.763157894736842,0.791666666666667,0.945205479452055,0.813333333333333,0.97752808988764,0.887640449438202,0.82089552238806,0.931818181818182,0.830508474576271,0.836734693877551,0.770491803278688,0.774193548387097,0.770491803278688,0.904761904761905,0.883720930232558,0.951807228915663,0.9,0.903614457831325
"103_3",0.868852459016394,0,0.737704918032787,0.585365853658537,0.755102040816326,0.76,0.868852459016394,0.741935483870968,0.727272727272727,0.752380952380952,0.8,0.757575757575758,0.755555555555556,0.830188679245283,0.844827586206897,0.91578947368421,0.837837837837838,0.858585858585859,0.652173913043478,0.766990291262136,0.742857142857143,0.82089552238806,0.7,0.768115942028986,0.824175824175824,0.829787234042553,0.785714285714286,0.735849056603774,0.717948717948718,0.74025974025974,0.846153846153846,0.836734693877551,0.918367346938775,0.867924528301887,0.84,0.902912621359223,0.839285714285714,0.724137931034483,0.888888888888889,0.81651376146789,0.752808988764045,0.889908256880734,0.862068965517241,0.775510204081633,0.878787878787879,0.884615384615385,0.886178861788618,0.807692307692308,0.857142857142857,0.883495145631068,0.90990990990991,0.830188679245283,0.873873873873874,0.897435897435897,0.826086956521739,0.796296296296296,0.833333333333333,0.897435897435897,0.760869565217391,0.795454545454545,0.746031746031746,0.92156862745098,0.864406779661017,0.806451612903226,0.885714285714286,0.906542056074766,0.858407079646018,0.88,0.89010989010989,0.841584158415842,0.909090909090909,0.951219512195122,0.974025974025974,0.867924528301887,0.949579831932773,0.833333333333333,0.71875,0.851063829787234,0.835294117647059,0.833333333333333,0.692307692307692,0.873015873015873,0.727272727272727,0.688888888888889,0.807692307692308,0.807692307692308,0.829268292682927,0.825242718446602,0.783783783783784,0.84375,0.736842105263158,0.844155844155844,0.684210526315789,0.797979797979798,0.762376237623762,0.755102040816326,0.789473684210526,0.836734693877551
"103_5",0.739130434782609,0.737704918032787,0,0.731343283582089,0.807228915662651,0.8,0.869158878504673,0.702127659574468,0.647058823529412,0.822222222222222,0.781818181818182,0.686274509803922,0.76,0.89010989010989,0.821782178217822,0.95,0.854166666666667,0.904761904761905,0.688311688311688,0.909090909090909,0.890909090909091,0.769230769230769,0.692307692307692,0.703703703703704,0.815789473684211,0.873417721518987,0.797101449275362,0.824175824175824,0.682539682539683,0.774193548387097,0.904761904761905,0.807228915662651,0.764705882352941,0.846153846153846,0.905882352941176,0.886363636363636,0.876288659793814,0.722222222222222,0.84,0.872340425531915,0.72972972972973,0.936170212765957,0.96039603960396,0.807228915662651,0.976190476190476,0.910112359550562,0.962962962962963,0.865168539325843,0.879518072289157,0.863636363636364,0.9375,0.934065934065934,0.895833333333333,0.92156862745098,0.9,0.89247311827957,0.855072463768116,0.843137254901961,0.818181818181818,0.753424657534246,0.666666666666667,0.777777777777778,0.590909090909091,0.659574468085106,0.888888888888889,0.956521739130435,0.959183673469388,0.905882352941176,0.894736842105263,0.86046511627907,0.89041095890411,0.846153846153846,0.967741935483871,0.89010989010989,0.942307692307692,0.82716049382716,0.510204081632653,0.873417721518987,0.828571428571429,0.855072463768116,0.710526315789474,0.75,0.780821917808219,0.733333333333333,0.842696629213483,0.865168539325843,0.791044776119403,0.863636363636364,0.76271186440678,0.755102040816326,0.60655737704918,0.741935483870968,0.639344262295082,0.880952380952381,0.86046511627907,0.855421686746988,0.875,0.855421686746988
"103_8",0.82089552238806,0.585365853658537,0.731343283582089,0,0.846153846153846,0.82716049382716,0.8125,0.764705882352941,0.722222222222222,0.81981981981982,0.789473684210526,0.777777777777778,0.75,0.75,0.819672131147541,0.940594059405941,0.794871794871795,0.866666666666667,0.73469387755102,0.798165137614679,0.710526315789474,0.808219178082192,0.744186046511628,0.813333333333333,0.711340206185567,0.84,0.844444444444445,0.857142857142857,0.642857142857143,0.783132530120482,0.880952380952381,0.769230769230769,0.818181818181818,0.785714285714286,0.905660377358491,0.871559633027523,0.864406779661017,0.763440860215054,0.8125,0.826086956521739,0.684210526315789,0.878260869565217,0.836065573770492,0.846153846153846,0.885714285714286,0.927272727272727,0.829457364341085,0.890909090909091,0.884615384615385,0.81651376146789,0.914529914529915,0.892857142857143,0.88034188034188,0.886178861788618,0.851239669421488,0.789473684210526,0.866666666666667,0.83739837398374,0.755102040816326,0.829787234042553,0.797101449275362,0.929824561403509,0.907692307692308,0.882352941176471,0.945945945945946,0.946902654867257,0.798319327731092,0.905660377358491,0.814432989690722,0.906542056074766,0.829787234042553,0.914893617021277,0.951807228915663,0.821428571428571,0.936,0.901960784313725,0.742857142857143,0.88,0.802197802197802,0.844444444444445,0.77319587628866,0.826086956521739,0.74468085106383,0.729166666666667,0.836363636363636,0.727272727272727,0.795454545454545,0.871559633027523,0.825,0.771428571428571,0.731707317073171,0.759036144578313,0.634146341463415,0.828571428571429,0.775700934579439,0.846153846153846,0.861386138613861,0.75
"112_12",0.927710843373494,0.755102040816326,0.807228915662651,0.846153846153846,0,0.855670103092784,0.777777777777778,0.904761904761905,0.886363636363636,0.669291338582677,0.847826086956522,0.795454545454545,0.732142857142857,0.78125,0.695652173913043,0.606837606837607,0.714285714285714,0.752066115702479,0.771929824561403,0.648,0.826086956521739,0.730337078651685,0.764705882352941,0.89010989010989,0.893805309734513,0.758620689655172,0.811320754716981,0.65625,0.84,0.838383838383838,0.74,0.716666666666667,0.887323943661972,0.703125,0.524590163934426,0.536,0.611940298507463,0.853211009174312,0.678571428571429,0.725190839694656,0.693693693693694,0.755725190839695,0.898550724637681,0.7,0.768595041322314,0.746031746031746,0.806896551724138,0.80952380952381,0.8,0.76,0.849624060150376,0.765625,0.744360902255639,0.755395683453237,0.781021897810219,0.6,0.584905660377359,0.769784172661871,0.614035087719298,0.6,0.835294117647059,0.972602739726027,0.901234567901235,0.833333333333333,0.669291338582677,0.782945736434109,0.733333333333333,0.737704918032787,0.610619469026549,0.463414634146341,0.836363636363636,0.968253968253968,0.777777777777778,0.765625,0.886524822695036,0.694915254237288,0.86046511627907,0.620689655172414,0.813084112149533,0.886792452830189,0.84070796460177,0.952941176470588,0.727272727272727,0.803571428571429,0.603174603174603,0.777777777777778,0.884615384615385,0.664,0.895833333333333,0.883720930232558,0.877551020408163,0.757575757575758,0.836734693877551,0.768595041322314,0.83739837398374,0.716666666666667,0.521367521367521,0.85
"112_3",0.766666666666667,0.76,0.8,0.82716049382716,0.855670103092784,0,0.834710743801653,0.80327868852459,0.753846153846154,0.865384615384615,0.768115942028986,0.753846153846154,0.707865168539326,0.847619047619048,0.808695652173913,0.957446808510638,0.836363636363636,0.897959183673469,0.67032967032967,0.843137254901961,0.826086956521739,0.818181818181818,0.746835443037975,0.852941176470588,0.866666666666667,0.870967741935484,0.855421686746988,0.80952380952381,0.74025974025974,0.736842105263158,0.896103896103896,0.855670103092784,0.916666666666667,0.847619047619048,0.838383838383838,0.92156862745098,0.90990990990991,0.744186046511628,0.887640449438202,0.851851851851852,0.886363636363636,0.907407407407407,0.843478260869565,0.855670103092784,0.938775510204082,0.864077669902913,0.885245901639344,0.883495145631068,0.917525773195876,0.92156862745098,0.945454545454546,0.847619047619048,0.890909090909091,0.896551724137931,0.912280701754386,0.925233644859813,0.927710843373494,0.862068965517241,0.824175824175824,0.839080459770115,0.67741935483871,0.88,0.862068965517241,0.80327868852459,0.923076923076923,0.849056603773585,0.875,0.919191919191919,0.911111111111111,0.86,0.908045977011494,1,0.947368421052632,0.866666666666667,0.983050847457627,0.873684210526316,0.650793650793651,0.870967741935484,0.880952380952381,0.710843373493976,0.711111111111111,0.870967741935484,0.885057471264368,0.640449438202247,0.902912621359223,0.631067961165048,0.753086419753086,0.823529411764706,0.726027397260274,0.904761904761905,0.706666666666667,0.763157894736842,0.76,0.877551020408163,0.9,0.814432989690722,0.808510638297872,0.814432989690722
"112_8",0.925233644859813,0.868852459016394,0.869158878504673,0.8125,0.777777777777778,0.834710743801653,0,0.888888888888889,0.910714285714286,0.788079470198676,0.896551724137931,0.875,0.794117647058824,0.802631578947368,0.765432098765432,0.815602836879433,0.656050955414013,0.751724137931034,0.840579710144927,0.785234899328859,0.896551724137931,0.893805309734513,0.873015873015873,0.91304347826087,0.854014598540146,0.771428571428571,0.8,0.75,0.854838709677419,0.886178861788618,0.758064516129032,0.680555555555556,0.957894736842105,0.763157894736842,0.780821917808219,0.74496644295302,0.721518987341772,0.834586466165413,0.838235294117647,0.729032258064516,0.792592592592593,0.703225806451613,0.765432098765432,0.722222222222222,0.724137931034483,0.733333333333333,0.715976331360947,0.786666666666667,0.736111111111111,0.704697986577181,0.770700636942675,0.776315789473684,0.75796178343949,0.705521472392638,0.726708074534161,0.779220779220779,0.861538461538462,0.730061349693252,0.768115942028986,0.776119402985075,0.871559633027523,0.958762886597938,0.942857142857143,0.851851851851852,0.814569536423841,0.764705882352941,0.69811320754717,0.753424657534246,0.722627737226277,0.741496598639456,0.731343283582089,0.977011494252874,0.869918699186992,0.710526315789474,0.83030303030303,0.802816901408451,0.872727272727273,0.842857142857143,0.862595419847328,0.876923076923077,0.854014598540146,0.963302752293578,0.850746268656716,0.779411764705882,0.76,0.773333333333333,0.859375,0.731543624161074,0.866666666666667,0.981818181818182,0.901639344262295,0.853658536585366,0.934426229508197,0.668965517241379,0.687074829931973,0.763888888888889,0.75886524822695,0.722222222222222
"125_5",0.787234042553191,0.741935483870968,0.702127659574468,0.764705882352941,0.904761904761905,0.80327868852459,0.888888888888889,0,0.5,0.78021978021978,0.75,0.730769230769231,0.815789473684211,0.869565217391304,0.92156862745098,0.925925925925926,0.855670103092784,0.858823529411765,0.666666666666667,0.865168539325843,0.857142857142857,0.849056603773585,0.696969696969697,0.818181818181818,0.844155844155844,0.9,0.857142857142857,0.760869565217391,0.75,0.714285714285714,0.875,0.833333333333333,0.885714285714286,0.869565217391304,0.906976744186047,0.887640449438202,0.959183673469388,0.753424657534246,0.894736842105263,0.852631578947368,0.893333333333333,0.91578947368421,0.882352941176471,0.833333333333333,0.929411764705882,0.933333333333333,0.981651376146789,0.866666666666667,0.904761904761905,0.932584269662921,0.938144329896907,0.934782608695652,0.938144329896907,0.883495145631068,0.920792079207921,0.914893617021277,0.857142857142857,0.922330097087379,0.846153846153846,0.891891891891892,0.795918367346939,0.891891891891892,0.777777777777778,0.791666666666667,0.934065934065934,0.935483870967742,0.858585858585859,0.930232558139535,0.896103896103896,0.931034482758621,0.945945945945946,0.925925925925926,0.968253968253968,0.91304347826087,0.942857142857143,0.902439024390244,0.76,0.875,0.774647887323944,0.742857142857143,0.61038961038961,0.755102040816326,0.810810810810811,0.763157894736842,0.822222222222222,0.822222222222222,0.735294117647059,0.865168539325843,0.633333333333333,0.76,0.548387096774194,0.746031746031746,0.548387096774194,0.882352941176471,0.885057471264368,0.833333333333333,0.925925925925926,0.80952380952381
"125_6",0.803921568627451,0.727272727272727,0.647058823529412,0.722222222222222,0.886363636363636,0.753846153846154,0.910714285714286,0.5,0,0.852631578947368,0.766666666666667,0.714285714285714,0.775,0.8125,0.905660377358491,1,0.920792079207921,0.910112359550562,0.658536585365854,0.849462365591398,0.733333333333333,0.754385964912281,0.6,0.76271186440678,0.802469135802469,0.833333333333333,0.864864864864865,0.791666666666667,0.558823529411765,0.641791044776119,0.852941176470588,0.863636363636364,0.897435897435897,0.833333333333333,0.888888888888889,0.913978494623656,0.96078431372549,0.766233766233766,0.85,0.878787878787879,0.848101265822785,0.919191919191919,0.905660377358491,0.886363636363636,0.932584269662921,0.957446808510638,0.929203539823009,0.914893617021277,0.977272727272727,0.935483870967742,0.940594059405941,0.895833333333333,0.940594059405941,0.94392523364486,0.923809523809524,0.857142857142857,0.918918918918919,0.94392523364486,0.878048780487805,0.897435897435897,0.69811320754717,0.804878048780488,0.755102040816326,0.769230769230769,0.936842105263158,0.938144329896907,0.922330097087379,0.955555555555555,0.950617283950617,0.934065934065934,0.897435897435897,0.935483870967742,1,0.916666666666667,0.944954128440367,0.930232558139535,0.703703703703704,0.904761904761905,0.866666666666667,0.837837837837838,0.62962962962963,0.811320754716981,0.82051282051282,0.725,0.914893617021277,0.829787234042553,0.694444444444444,0.870967741935484,0.65625,0.666666666666667,0.575757575757576,0.731343283582089,0.575757575757576,0.955056179775281,0.89010989010989,0.863636363636364,0.905882352941176,0.840909090909091
"125_9",0.955555555555555,0.752380952380952,0.822222222222222,0.81981981981982,0.669291338582677,0.865384615384615,0.788079470198676,0.78021978021978,0.852631578947368,0,0.858585858585859,0.768421052631579,0.781512605042017,0.614814814814815,0.751724137931034,0.758064516129032,0.728571428571429,0.65625,0.669421487603306,0.590909090909091,0.757575757575758,0.770833333333333,0.724770642201835,0.816326530612245,0.766666666666667,0.691056910569106,0.752212389380531,0.644444444444444,0.738317757009346,0.773584905660377,0.738317757009346,0.669291338582677,0.923076923076923,0.718518518518519,0.643410852713178,0.651515151515152,0.687943262411348,0.775862068965517,0.764705882352941,0.753623188405797,0.796610169491526,0.826086956521739,0.83448275862069,0.732283464566929,0.734375,0.759398496240602,0.802631578947368,0.789473684210526,0.748031496062992,0.727272727272727,0.814285714285714,0.762962962962963,0.742857142857143,0.726027397260274,0.777777777777778,0.64963503649635,0.752212389380531,0.794520547945206,0.669421487603306,0.760683760683761,0.826086956521739,0.95,0.886363636363636,0.912087912087912,0.746268656716418,0.808823529411765,0.76056338028169,0.798449612403101,0.766666666666667,0.676923076923077,0.846153846153846,0.971428571428572,0.792452830188679,0.703703703703704,0.851351351351351,0.728,0.849462365591398,0.691056910569106,0.842105263157895,0.787610619469026,0.75,0.869565217391304,0.658119658119658,0.73109243697479,0.699248120300752,0.759398496240602,0.873873873873874,0.757575757575758,0.786407766990291,0.870967741935484,0.752380952380952,0.830188679245283,0.80952380952381,0.75,0.784615384615385,0.732283464566929,0.67741935483871,0.763779527559055
