"site2","100_3","100_5","100_6","100_9","142_1","142_12","142_13","142_3","142_4","142_5","142_6","147_1","147_11","147_2","147_3","147_4","147_5","147_7","147_8","152_1","152_2","152_3","152_4","152_6","152_7","152_8","202_1","202_13","202_2","235_1","235_3","235_4","235_5","245_11","245_2","245_4","245_5","245_6","245_7","245_8","245_9","269_1","269_10","269_11","269_2","269_4","269_6","269_7","269_8","274_1","274_2","274_3","274_4","274_5","274_6","274_7","274_8","315_1","315_11","315_2","315_3","315_4","315_5","342_1","342_10","342_11","342_12","342_2","342_3","342_4","342_5","342_6","342_7","342_8","342_9","358_4","358_5","369_1","369_10","369_3","369_4","369_5","369_6","369_7","369_8","423_1","423_5","423_6","423_7","423_9","44_1","44_2","44_4","44_5","44_6","443_1","443_2","443_4","547_1","547_2","547_5","549_1","549_10","549_11","549_12","549_2","549_3","549_4","549_5","549_6","549_7","549_8","549_9","Extra_1","Extra_2","Extra_3","Extra_4"
"100_3",0,0.437934250927464,0.310411557178033,0.313272966965548,0.465736512916401,0.353569126520913,0.378696430951376,0.307408662653724,0.488148480440689,0.544678363604446,0.601203419770417,0.332494287601142,0.258104497098133,0.302365948776145,0.345457311031621,0.291640213259569,0.330902877584756,0.536023573725301,0.381889005214659,0.250923121792906,0.52797896162849,0.33092724238531,0.367264371999965,0.471367088795629,0.412660530451045,0.361756597644229,0.453309935005248,0.274209260921649,0.32209106588663,0.484736237335433,0.397289366825905,0.476512449888308,0.667338042829639,0.314142958718225,0.44029157028677,0.280729427098086,0.373803542524565,0.504649112834419,0.322039242221296,0.316173363027257,0.243477612822811,0.387766228498274,0.303880164753793,0.448946005143907,0.306211727455515,0.366613624028491,0.350063106022417,0.295042210195018,0.407463869856482,0.436972285688478,0.358322704326871,0.451227840766577,0.550025471386855,0.336379986685732,0.305533515560626,0.401081819996017,0.312767753666891,0.395009025102914,0.686594481106457,0.172581922589908,0.419010509812944,0.40563574899965,0.165581396660595,0.487116705734707,0.378982030348063,0.271856214536567,0.199341767739037,0.539355983748308,0.630910434016006,0.474364779635837,0.560554133337444,0.523683027082912,0.43793898939357,0.452917366918038,0.403250124925311,0.458161642898747,0.333263539147656,0.225723449034477,0.376530497222502,0.34192081687123,0.326152841490377,0.318976877550822,0.337759178635545,0.44059507229724,0.44071164435136,0.555008858957715,0.662334451059756,0.611876695959312,0.463730329834674,0.587373735862246,0.613072854075934,0.603590791151518,0.38225664472982,0.507248649272498,0.209803400775815,0.193139249069797,0.298777177191025,0.327177945847569,0.476788408749397,0.341803545532731,0.319761683977429,0.309063758786021,0.294709411589455,0.558888115957208,0.454364503665405,0.299623572264898,0.404182490332631,0.454574353899307,0.357428024258542,0.330483664565183,0.31390238998933,0.278019495957472,0.436258201928097,0.342709324729515,0.371048664705939,0.374879315735876,0.375891051810878
"100_5",0.437934250927464,-2.66453525910038e-15,0.701100975753863,0.208406048355173,0.0285826395873381,0.145432636116893,0.202574610432537,0.0813918731961683,0.0561719775284393,0.0538012827387437,0.153564429028996,0.0655449167293976,0.151090067813864,0.115279937198598,0.049377549437827,0.15165007276812,0.0702016328265804,0.0499941813755151,0.037401880216702,0.229552878678328,0.0961063443336003,0.136575241968055,0.319225952300319,0.0676858674640235,0.11374529129697,0.0731841474311108,0.0420981429209739,0.129989583257158,0.0934828190357917,0.0522889169755902,0.0718733680142531,0.0442560501191651,0.23525856354924,0.123772014173049,0.0350514614495925,0.183862371883526,0.0813226025741836,0.0728760672959741,0.155479211589358,0.111166053292423,0.178345355698597,0.0744966557069686,0.0832252209323736,0.0349042467244747,0.140266425806481,0.0768728261695268,0.207036126273606,0.129506905560467,0.107135241029837,0.0542342729259899,0.0984407062962542,0.0459159100716919,0.121061490278342,0.112529195480545,0.117418699925264,0.0464250866104392,0.156510441362755,0.0587410939766149,0.284507638624128,0.620124461278436,0.0387041670181787,0.0733975717636826,0.647178027898165,0.0224707317878987,0.170364048209134,0.155763278387016,0.224360217812695,0.084096869082793,0.178013929942184,0.0287508412289592,0.0808222722007577,0.0482132652967104,0.0324551020302868,0.0426809192239614,0.0705714996203779,0.0400187331513513,0.124086756159247,0.223676776087069,0.0490681419640073,0.0643981159171791,0.115172351978404,0.0693064260441658,0.222869453211019,0.0258430587200842,0.0369410001201698,0.145937970120434,0.20579628775761,0.198644603879517,0.0489813996859605,0.164634499644211,0.861815073598846,0.125124300356722,0.0737510963264878,0.0930728744517439,0.181670705850519,0.217666262943763,0.141394646292237,0.125881228642141,0.0480053243587037,0.0901390810440297,0.0722109033925653,0.0799410397741667,0.116193094369013,0.0739628881858345,0.0786003286580368,0.159545108791204,0.0680105668199447,0.0371578527235683,0.0658780891163147,0.170383064928463,0.10075151356378,0.147866475297111,0.0373008572044338,0.160949281814933,0.0884133958056763,0.141822143656604,0.0719191348323709
"100_6",0.310411557178035,0.701100975753862,8.88178419700125e-16,0.674069325302651,0.695447242256114,0.606447810506789,0.619428946828648,0.574022270990838,0.695473147017022,0.767469212698918,0.782829259705959,0.609011841505366,0.523895785161626,0.553364973762345,0.608389682627588,0.551110051387733,0.596724955212556,0.740772444564733,0.648105707461413,0.511019178127607,0.737322071805866,0.595531426993061,0.565938103234773,0.69113939030652,0.679414741878586,0.623179432386657,0.698918004083254,0.564169997698595,0.607056735199945,0.696818709486511,0.661745928102152,0.693572690967762,0.821104250945955,0.55603866529329,0.674690144697677,0.52110922642645,0.609625257675126,0.705205932094165,0.564562913053551,0.555965341622077,0.48431246607033,0.638204392771283,0.574789080522709,0.687216090076417,0.556163978365563,0.616219561411711,0.55688995196456,0.547055862490551,0.621369342108405,0.659987699717938,0.612487935388315,0.687548587516176,0.764714364376156,0.587834339266684,0.563347770928299,0.640690846514912,0.546742872998076,0.64596254866202,0.850472848456432,0.174463668948519,0.674329616845643,0.688988598603861,0.212040328581745,0.729043233048273,0.60308555206935,0.520718713126142,0.47085153921732,0.740884379888603,0.813496143661379,0.707616447795635,0.757941562758633,0.727070321051758,0.684439976515152,0.695770715060015,0.644190353070846,0.688842966863893,0.567033460930084,0.483786247019247,0.624772226738921,0.631956589498952,0.57655062760881,0.599051091034419,0.545514630014096,0.688970699964016,0.672915080804241,0.773229503008694,0.829275800180208,0.81061031313845,0.684340977440849,0.801879450260405,0.426846047464545,0.78439028825811,0.652155702233056,0.743624240904882,0.526369494534661,0.492079167505195,0.543907285758821,0.581063346473867,0.70444856809817,0.580601252423221,0.577832407786312,0.58682510491093,0.547564629246282,0.751913841530543,0.674234954313771,0.571695985466555,0.629273863725301,0.706036573065196,0.610823424685996,0.561585717449808,0.570714663715364,0.540291303167327,0.665513109081629,0.564134929190822,0.62387316922771,0.616674337469405,0.612220911694365
"100_9",0.313272966965551,0.208406048355173,0.674069325302649,1.33226762955019e-15,0.238787584059876,0.244553182004343,0.239684985710353,0.194070459106188,0.265564547309664,0.311211176031458,0.320530534305518,0.211958820490091,0.216017292046351,0.195148996507396,0.178206309780816,0.215482608858925,0.19547021690781,0.279083331700219,0.217405888287986,0.24616922061159,0.279626611097289,0.217582432372649,0.346104625665487,0.218453789165596,0.180076848627291,0.159056314519126,0.19613100941691,0.181797435140309,0.144414584460993,0.249595396539148,0.137858139048451,0.238053355773389,0.403859528970166,0.21590449380951,0.226033095224311,0.262729747291835,0.216068694352764,0.278707666494386,0.232184050782665,0.221033045677992,0.226853233224806,0.22542945114197,0.20548319288613,0.249001154230823,0.243316580976253,0.223456293457205,0.272797381153187,0.227972621796723,0.252578400961037,0.224858802237893,0.228979174460019,0.25005087014383,0.199439442913727,0.203472884644204,0.205550519080579,0.210614663254395,0.232872327097338,0.186592441585208,0.394763366942285,0.556111652616882,0.168552826625054,0.109494203212047,0.515339170649747,0.272973639088035,0.259985136910793,0.229778073901046,0.276740629183975,0.264236634383149,0.307631872032617,0.237327160775364,0.276985372716729,0.257195718384862,0.18513268260637,0.221267805043877,0.210726095877335,0.233421445771336,0.209377683803355,0.230218345953535,0.204091013010264,0.222220900975083,0.209826591860984,0.155859017831483,0.31531684490892,0.203169869787674,0.230639040715044,0.223808405407908,0.36080633972183,0.29599980999574,0.254460557938401,0.224153754876519,0.840714919206311,0.299011496982488,0.162041015581281,0.22538050528331,0.10784487726521,0.159485033128008,0.234326213706807,0.230108074162835,0.198674667318569,0.220038257501098,0.192170146928199,0.200451956293051,0.222819407316864,0.286778161588309,0.26432460688275,0.239378779906568,0.230504265430763,0.265764975118024,0.199473942901209,0.255839421205867,0.210132835032638,0.2206995322788,0.224943632548233,0.256051243864345,0.247979699191643,0.266139300682664,0.209039713440551
"142_1",0.465736512916402,0.028582639587341,0.695447242256115,0.238787584059879,-1.77635683940025e-15,0.111296603552694,0.224668395721901,0.0852686757096173,0.0350989495511917,0.0426480861932972,0.127259692797729,0.0731473606260156,0.151201684343831,0.109540511741518,0.0552452097420051,0.162459465510033,0.0703343888830839,0.0429747736766792,0.0335610851224477,0.256080349641256,0.101074996614932,0.14942041123828,0.301113093479541,0.0713738561730508,0.124384947576368,0.0809175701019635,0.0430222310000365,0.126740554584796,0.0951132564976591,0.0328656904409868,0.0718059279022683,0.041254074771226,0.223976349312827,0.120332136339756,0.0272263288747365,0.184930855909925,0.0761697816779452,0.0528113406420081,0.165120626977257,0.10251321620516,0.173864947217687,0.0625319983148167,0.0759578726483878,0.0211633556613025,0.148867394370546,0.0577712484546216,0.193978477137632,0.136551154124129,0.0809512520757298,0.0464104403918963,0.0993507441424346,0.0324637367784746,0.120972477047131,0.107814723990162,0.104933726064046,0.0475851626025385,0.129023901087227,0.0646110304068546,0.252326992909369,0.636262426810024,0.0373065677263806,0.07053288497799,0.658702204781324,0.0283983375224874,0.162581350254311,0.155189042718319,0.231098747716783,0.0602952052521886,0.171040067049053,0.0190236666360308,0.0579664840178891,0.0430577433630566,0.0292748676604804,0.0333765614341868,0.0717422950253277,0.0187180136413252,0.107884644101203,0.217024895376205,0.0484980103362562,0.0825799967202594,0.106715309949855,0.0796286518113181,0.196393410557621,0.0193417061516088,0.0213582847414964,0.145481237569649,0.18761455006282,0.184321263398383,0.0412987022958906,0.150155748378869,0.867223827164176,0.114490793518701,0.0857787927865838,0.0879194649114277,0.196223376168568,0.227958145655822,0.129805209920387,0.130585500739398,0.042271130582465,0.0768834764966586,0.0716486028997918,0.0803997835045087,0.111188618166203,0.0551241366362099,0.0561336110182256,0.153751754787071,0.0547124834859469,0.0296689352950275,0.0716465497511922,0.166827114348745,0.097975751367728,0.153746883383348,0.0286883879929647,0.146124045884311,0.07341376598234,0.133391149227037,0.0691763737342548
"142_12",0.353569126520911,0.145432636116894,0.60644781050679,0.24455318200434,0.111296603552694,-1.77635683940025e-15,0.182311014101153,0.0711511371997233,0.0961608701000223,0.217949389772631,0.277051553412589,0.073041665619789,0.0754194316600461,0.0461336912795511,0.068630209311086,0.138980819023536,0.0680784948681168,0.19531960242797,0.0989762471843032,0.173463544659247,0.227826754532002,0.122481943394459,0.205192196030505,0.135292543635312,0.175906856064484,0.094971961765407,0.168084261789557,0.0486377666260416,0.06777261625683,0.120456531065335,0.126791847288002,0.142238309648532,0.377949386762309,0.0958790584720028,0.0919226093469503,0.159462783561426,0.124179200692878,0.147333166949062,0.106378900391723,0.073443910678598,0.0883377170024493,0.0433740850613908,0.0609671078322924,0.0982589296722693,0.0742460777802862,0.0744734148761228,0.075038727846076,0.0756589571124371,0.0347434242187903,0.0647071354700735,0.0719097686873864,0.123026099101933,0.250849013964956,0.0580234896761516,0.0853940440293279,0.0742745026519793,0.0667677162647136,0.0659610302405889,0.456515207039033,0.528645607348125,0.105886449937753,0.123828005040356,0.564625505639754,0.17520043448104,0.0602566672323435,0.0907605055422878,0.137828185269507,0.179755818208192,0.355509723956187,0.133266963646862,0.207528774978082,0.152161274883681,0.105696002305631,0.14815594731672,0.104576596591825,0.108405653114058,0.0426446981819217,0.10780851011163,0.0741347477443717,0.113921884770523,0.0419656680388651,0.0539551736092865,0.09815064774867,0.11629952818396,0.0896951047949746,0.262859283025652,0.346930734171021,0.343906575692151,0.139303041007121,0.287443271659196,0.824093428234582,0.257966227877108,0.162641036421275,0.242153846868608,0.139129249864163,0.180175527007404,0.0738022296703724,0.110478669856897,0.127909716158678,0.102713253624366,0.0645244702691055,0.0691286639638482,0.0840799280959996,0.219258491703027,0.111338402139506,0.0923408557373853,0.117348727430129,0.144765550573387,0.0832687629780717,0.0784793113657207,0.0552802390047682,0.103430034892293,0.0925371683483436,0.0954046067082794,0.0905070769369003,0.0954149120068752,0.1025850550095
"142_13",0.378696430951378,0.202574610432539,0.619428946828648,0.239684985710354,0.224668395721903,0.182311014101152,-4.44089209850063e-16,0.157793466586612,0.244567409532723,0.296819013538447,0.36433500166296,0.171519970263689,0.179189716357665,0.138311438553234,0.150441699976605,0.0972605952324785,0.161208461082379,0.249710943512508,0.194135241210275,0.0833864842666476,0.183492012702248,0.133418687020324,0.211128804175997,0.156000759802516,0.0848462981564848,0.130592012795765,0.211174078408158,0.16130144217765,0.121961743641526,0.245057478473714,0.126022002497289,0.231832186308655,0.309568337286249,0.153694452196204,0.205173493160202,0.204923923015231,0.205813597496439,0.260297773458062,0.144285802893428,0.178680205181179,0.154483853926321,0.185626984733849,0.161072602610469,0.215202649320211,0.217020883144803,0.161376236952649,0.225053582286459,0.202388912478301,0.199096356608201,0.18424914642951,0.20277503566701,0.206467711721252,0.252205689771498,0.188841160609841,0.177140611999302,0.195951337216022,0.161717405563905,0.179114032596646,0.496488283018313,0.537573370121146,0.202422491904534,0.191667999308553,0.566479318100021,0.237403468119845,0.15676550045492,0.16586968525905,0.201777726542661,0.280638744534634,0.334477651361868,0.237772575979846,0.314219045675179,0.217650167834305,0.168368848227,0.228717667151203,0.0872876117369215,0.1769759323312,0.128114281819168,0.122424665825105,0.171120525306042,0.17772742036647,0.137680943145403,0.144808227950851,0.240667491862477,0.182634979924414,0.208910402854313,0.359250725042539,0.398323877012076,0.40262297150984,0.228315378733325,0.326399159812526,0.833542001397766,0.320257678198878,0.232510649000364,0.294771550903078,0.200349648927637,0.212359404804708,0.185681308593157,0.228203322826114,0.168989351616176,0.190881628001319,0.175934521417244,0.147814653304388,0.169005940365256,0.298901920811304,0.199532149234874,0.152473119868315,0.198803994661915,0.218474671903594,0.157820556985576,0.168068228860333,0.165272042850251,0.159721549044707,0.199494428008457,0.184044265098786,0.166210288174441,0.173807979814639,0.177880615557697
"142_3",0.307408662653725,0.0813918731961649,0.574022270990839,0.194070459106187,0.0852686757096179,0.071151137199728,0.15779346658661,1.33226762955019e-15,0.0925727642718808,0.168994983912781,0.270955740041848,0.0319555646669485,0.0441291126334571,0.0405088631222674,0.0282047783112922,0.0679185724898037,0.0222505201375944,0.139215304715038,0.046898863129881,0.138724603376694,0.173986947934935,0.0816302939288154,0.214121786658978,0.10704624956406,0.110081831144938,0.0509403447741124,0.0929045516823623,0.0543986421976193,0.0554623592149956,0.0909009855637304,0.0891108265473062,0.0998302702572238,0.327175971166325,0.0335300173199315,0.0577396234188723,0.0828553709122171,0.0454562652503316,0.0980708982684053,0.0733120197177777,0.0311467247687813,0.0509940214049329,0.0547290135640885,0.0237944092528941,0.065959482201154,0.0818249034246463,0.0299338392037591,0.117004633449693,0.0513275707925582,0.0592596434804782,0.0774098603302444,0.0633863809300348,0.077938639904203,0.237550437131588,0.0702692498107702,0.036592141676911,0.0574197805210366,0.0586569151326402,0.0680947902205258,0.419351778638992,0.501565370806005,0.0613569148760871,0.105907505215216,0.535874397048929,0.117401247938626,0.107866400921292,0.0694598059055882,0.117899398338878,0.159748751774633,0.313273861694616,0.104604241653936,0.201191681713108,0.135737269639445,0.0851541741997661,0.0975486106643577,0.0770371415521585,0.0803252064687539,0.0482039532695167,0.0938787722564067,0.0309835813607551,0.0706773274764652,0.0405797830563361,0.0449437500617493,0.124493487401096,0.0821384193561099,0.0708478438063276,0.263060486499134,0.35234660345265,0.306095533669827,0.0969102019372448,0.284052173050451,0.805687065576062,0.238364817364687,0.106296947006698,0.177189848414808,0.0890891817411714,0.125888813349735,0.0331591058594529,0.0723241368514298,0.101132943183899,0.0339949003881546,0.0215302313176766,0.0295104916417568,0.0425680999233471,0.178347015459108,0.081901686110778,0.0537505482888772,0.0488167780588675,0.0931853459596255,0.0302329707503055,0.0770734630427299,0.0401556855832812,0.0617064053365317,0.0584093474626115,0.0680714727396219,0.0473769112826423,0.0730655844816752,0.0389849533887112
"142_4",0.488148480440691,0.0561719775284439,0.695473147017022,0.265564547309665,0.0350989495511913,0.0961608701000278,0.244567409532723,0.0925727642718841,0,0.082821926243025,0.139530998849068,0.0766127854321172,0.143673111968121,0.099765015739292,0.0655035270640723,0.177979950400256,0.0840370168298823,0.0560991293930779,0.0626148362986598,0.267862712581347,0.134722624638674,0.156982742685257,0.305857959309588,0.0806073773269764,0.147507232849735,0.0953311565881843,0.0544905380875844,0.127973247594518,0.091408883109797,0.0252362346403772,0.0859133309388949,0.049365676747309,0.240729736967972,0.119693102976539,0.0266609936413877,0.199650901302678,0.0951132053973816,0.0300988075150721,0.167849371296336,0.102297651475144,0.174189496525311,0.0604999984730381,0.0974682390853412,0.029612409985118,0.142308611386458,0.0660312262676666,0.155483467478221,0.117572850342521,0.0478698842430538,0.0387172452091185,0.0790678303422143,0.0624958991718871,0.137665744153416,0.101464038820068,0.101303376534294,0.0454364928148354,0.126772935600721,0.0504101596739996,0.279427493522206,0.638369935432816,0.0458903537361424,0.0826773640872718,0.6668701267123,0.0595392145938574,0.140362545989674,0.161196639902634,0.252982368923518,0.0576436778542055,0.188873564749629,0.036701362045432,0.0776003300157633,0.0491404486625919,0.0549743505455469,0.0647648816735911,0.0957459549919557,0.043638338372503,0.103964367152436,0.216986455114581,0.0596267874021501,0.128348210327852,0.0893245993564973,0.0829264614863388,0.177036570250374,0.0495862328796894,0.0264802775405133,0.161129118522968,0.18607628355986,0.204284289378827,0.068047289974746,0.15940270870474,0.867145155153331,0.107610369258431,0.131108819641917,0.121916598688697,0.209965067830311,0.256604986034369,0.128113755242887,0.125612836567734,0.0555766043669077,0.0869802781121964,0.0782197432350222,0.11160063191356,0.138168018158743,0.0683172055027681,0.060293526687258,0.169040857355655,0.0720463518395267,0.0664974070503861,0.0819196798168129,0.159115818558915,0.112874304776079,0.1751059927235,0.0325938993775936,0.138853304406497,0.0834340396659132,0.122716456643187,0.0847129086075988
"142_5",0.544678363604443,0.0538012827387451,0.767469212698917,0.311211176031457,0.0426480861932959,0.217949389772635,0.296819013538444,0.168994983912781,0.082821926243023,-8.88178419700125e-16,0.136946713697938,0.150878025148523,0.253790555450533,0.209123420704015,0.12539555726547,0.269516500454667,0.146814085938048,0.0419613361094775,0.0928517632869665,0.348613689357707,0.110781922357926,0.245733497272423,0.413438431792719,0.113120417418334,0.16753268386708,0.146649131379753,0.0900449871087652,0.234488373152488,0.188050659713708,0.0725678087000823,0.146157409546539,0.086717029482049,0.217107038568504,0.226755379770246,0.0704254822393362,0.290833967330574,0.143768670208199,0.0968118966722333,0.260748241480885,0.198733896314977,0.284422824135932,0.134027450075744,0.159766631857039,0.0570496529321685,0.239790550250836,0.149847995048501,0.302715247475974,0.235588334469658,0.173469308909923,0.108340826398986,0.182208515541704,0.0716363848227868,0.119582444887396,0.210106002539299,0.218617498967075,0.108300740517022,0.258999108888119,0.134311219302744,0.246898112838823,0.70071807075958,0.0772477412867056,0.13146767257534,0.728182306754081,0.0312932112785795,0.258981842511126,0.264891217787686,0.331270915961771,0.0858618636381006,0.142790182553146,0.0511062935576454,0.0560063904230077,0.0564955875590705,0.0734474001647463,0.0823220552354289,0.135903374306252,0.0629591199115944,0.209844779213328,0.337219045397676,0.116996882735555,0.134973446863018,0.205513134182493,0.154408754507967,0.314843663626752,0.057256372649825,0.0771964088172548,0.155170515295882,0.156141269186863,0.168687092802795,0.0826443339663709,0.136055112205165,0.888764088310297,0.0978327169579787,0.15092901925727,0.121752152085545,0.301907279106604,0.337431223557839,0.220351297532954,0.221248741163848,0.0685209579656143,0.181165674249876,0.156146375868631,0.15660627227368,0.208552512888109,0.0615788835731463,0.126238447124728,0.246659186108365,0.131797842043156,0.0509379590128394,0.147476533964154,0.270774018433107,0.186757074838579,0.24652895582242,0.0936095757641866,0.258063467412539,0.162899234758276,0.232641331047195,0.147869020880157
