"site2","100_3","100_5","100_6","100_9","142_1","142_12","142_13","142_3","142_4","142_5","142_6","147_1","147_11","147_2","147_3","147_4","147_5","147_7","147_8","152_1","152_2","152_3","152_4","152_6","152_7","152_8","202_1","202_13","202_2","235_1","235_3","235_4","235_5","245_11","245_2","245_4","245_5","245_6","245_7","245_8","245_9","269_1","269_10","269_11","269_2","269_4","269_6","269_7","269_8","274_1","274_2","274_3","274_4","274_5","274_6","274_7","274_8","315_1","315_11","315_2","315_3","315_4","315_5","342_1","342_10","342_11","342_12","342_2","342_3","342_4","342_5","342_6","342_7","342_8","342_9","358_4","358_5","369_1","369_10","369_3","369_4","369_5","369_6","369_7","369_8","423_1","423_5","423_6","423_7","423_9","44_1","44_2","44_4","44_5","44_6","443_1","443_2","443_4","547_1","547_2","547_5","549_1","549_10","549_11","549_12","549_2","549_3","549_4","549_5","549_6","549_7","549_8","549_9","Extra_1","Extra_2","Extra_3","Extra_4"
"100_3",0,0.72972972972973,0.728155339805825,0.873015873015873,0.78494623655914,0.686274509803922,0.888888888888889,0.706896551724138,0.75,0.764705882352941,0.770833333333333,0.743119266055046,0.76,0.803921568627451,0.805825242718447,0.875,0.773913043478261,0.745454545454545,0.793103448275862,0.96551724137931,0.907692307692308,0.914285714285714,0.946666666666667,0.949367088607595,0.931034482758621,0.888888888888889,0.805309734513274,0.777777777777778,0.95,0.735849056603774,0.867924528301887,0.869565217391304,1,0.811320754716981,0.7,0.866666666666667,0.763636363636364,0.741379310344828,0.951219512195122,0.793814432989691,0.745454545454545,0.841584158415842,0.706422018348624,0.729166666666667,0.752808988764045,0.811320754716981,0.82716049382716,0.791666666666667,0.689320388349514,0.843137254901961,0.777777777777778,0.810344827586207,0.782178217821782,0.822222222222222,0.814814814814815,0.765765765765766,0.795918367346939,0.8,1,1,0.696428571428571,0.831325301204819,0.96078431372549,0.742574257425743,0.868131868131868,0.849462365591398,0.898989898989899,0.741935483870968,0.861111111111111,0.719626168224299,0.765765765765766,0.722772277227723,0.797979797979798,0.73469387755102,0.696969696969697,0.757009345794392,0.811320754716981,0.780487804878049,0.80952380952381,0.793814432989691,0.767441860465116,0.793814432989691,0.85,0.781818181818182,0.754716981132076,0.794117647058824,0.85,0.785714285714286,0.754716981132076,0.882352941176471,0.764705882352941,0.770114942528736,0.760869565217391,0.736263736263736,0.84,0.816326530612245,0.777777777777778,0.846153846153846,0.733333333333333,0.801801801801802,0.74468085106383,0.644859813084112,0.631578947368421,0.720930232558139,0.68595041322314,0.684210526315789,0.699115044247788,0.696428571428571,0.743589743589744,0.672413793103448,0.711711711711712,0.798165137614679,0.764705882352941,0.651376146788991,0.714285714285714,0.706896551724138,0.790476190476191
"100_5",0.72972972972973,0,0.583333333333333,0.85,0.672727272727273,0.680672268907563,0.842696629213483,0.699248120300752,0.52212389380531,0.579831932773109,0.663716814159292,0.619047619047619,0.641025641025641,0.680672268907563,0.65,0.793814432989691,0.666666666666667,0.669291338582677,0.714285714285714,0.92,0.829268292682927,0.862068965517241,0.739130434782609,0.875,0.946666666666667,0.865168539325843,0.769230769230769,0.76,0.752577319587629,0.707317073170732,0.707317073170732,0.706422018348624,1,0.739837398373984,0.606837606837607,0.688524590163935,0.653543307086614,0.669172932330827,0.818181818181818,0.684210526315789,0.637795275590551,0.677966101694915,0.634920634920635,0.592920353982301,0.641509433962264,0.658536585365854,0.755102040816326,0.610619469026549,0.65,0.613445378151261,0.603448275862069,0.669172932330827,0.64406779661017,0.719626168224299,0.712,0.59375,0.634782608695652,0.663551401869159,0.944444444444444,0.905882352941176,0.612403100775194,0.76,1,0.661016949152542,0.759259259259259,0.709090909090909,0.672413793103448,0.690909090909091,0.752808988764045,0.645161290322581,0.609375,0.661016949152542,0.689655172413793,0.617391304347826,0.724137931034483,0.661290322580645,0.67479674796748,0.676767676767677,0.754098360655738,0.736842105263158,0.766990291262136,0.684210526315789,0.752577319587629,0.669291338582677,0.739837398373984,0.788235294117647,0.752577319587629,0.742574257425743,0.658536585365854,0.764705882352941,0.705882352941176,0.673076923076923,0.651376146788991,0.722222222222222,0.804347826086957,0.756521739130435,0.712,0.768595041322314,0.754098360655738,0.75,0.675675675675676,0.790322580645161,0.770992366412214,0.767123287671233,0.768115942028986,0.83206106870229,0.769230769230769,0.767441860465116,0.776119402985075,0.774436090225564,0.78125,0.793650793650794,0.747899159663866,0.793650793650794,0.808823529411765,0.774436090225564,0.770491803278688
"100_6",0.728155339805825,0.583333333333333,0,0.833333333333333,0.725490196078431,0.63963963963964,0.876543209876543,0.696,0.542857142857143,0.711711711711712,0.714285714285714,0.610169491525424,0.669724770642202,0.657657657657658,0.678571428571429,0.820224719101124,0.661290322580645,0.73109243697479,0.728,0.91044776119403,0.864864864864865,0.822784810126582,0.80952380952381,0.886363636363636,0.91044776119403,0.802469135802469,0.721311475409836,0.743589743589744,0.820224719101124,0.721739130434783,0.756521739130435,0.722772277227723,0.96969696969697,0.739130434782609,0.596330275229358,0.719298245614035,0.647058823529412,0.696,0.824175824175824,0.622641509433962,0.714285714285714,0.727272727272727,0.661016949152542,0.619047619047619,0.653061224489796,0.68695652173913,0.733333333333333,0.657142857142857,0.642857142857143,0.693693693693694,0.648148148148148,0.632,0.690909090909091,0.818181818181818,0.692307692307692,0.633333333333333,0.738317757009346,0.717171717171717,0.90625,0.974025974025974,0.652892561983471,0.782608695652174,0.933333333333333,0.654545454545455,0.78,0.764705882352941,0.740740740740741,0.705882352941176,0.802469135802469,0.637931034482759,0.666666666666667,0.709090909090909,0.703703703703704,0.570093457943925,0.685185185185185,0.706896551724138,0.669565217391304,0.692307692307692,0.771929824561403,0.735849056603774,0.726315789473684,0.735849056603774,0.775280898876404,0.663865546218487,0.669565217391304,0.818181818181818,0.797752808988764,0.741935483870968,0.634782608695652,0.766233766233766,0.617021276595745,0.666666666666667,0.643564356435643,0.72,0.833333333333333,0.775700934579439,0.709401709401709,0.734513274336283,0.666666666666667,0.7,0.631067961165048,0.793103448275862,0.707317073170732,0.72463768115942,0.661538461538462,0.723577235772358,0.770491803278688,0.768595041322314,0.73015873015873,0.744,0.766666666666667,0.728813559322034,0.765765765765766,0.728813559322034,0.75,0.728,0.754385964912281
"100_9",0.873015873015873,0.85,0.833333333333333,0,0.870967741935484,0.802816901408451,0.609756097560976,0.835294117647059,0.753846153846154,0.887323943661972,0.661538461538462,0.846153846153846,0.855072463768116,0.830985915492958,0.75,0.714285714285714,0.833333333333333,0.89873417721519,0.929411764705882,0.62962962962963,0.764705882352941,0.794871794871795,0.772727272727273,0.625,0.703703703703704,0.658536585365854,0.878048780487805,0.792207792207792,0.714285714285714,0.76,0.813333333333333,0.639344262295082,0.769230769230769,0.706666666666667,0.797101449275362,0.918918918918919,0.848101265822785,0.858823529411765,0.764705882352941,0.818181818181818,0.848101265822785,0.857142857142857,0.948717948717949,0.876923076923077,0.724137931034483,0.866666666666667,0.72,0.846153846153846,0.777777777777778,0.774647887323944,0.705882352941176,0.835294117647059,0.885714285714286,0.796610169491526,0.844155844155844,0.825,0.791044776119403,0.76271186440678,0.916666666666667,0.891891891891892,0.777777777777778,0.807692307692308,0.7,0.828571428571429,0.833333333333333,0.774193548387097,0.852941176470588,0.870967741935484,0.707317073170732,0.868421052631579,0.8,0.857142857142857,0.911764705882353,0.880597014925373,0.764705882352941,0.842105263157895,0.813333333333333,0.725490196078431,0.864864864864865,0.848484848484848,0.890909090909091,0.757575757575758,0.673469387755102,0.873417721518987,0.946666666666667,0.783783783783784,0.714285714285714,0.773584905660377,0.893333333333333,0.675675675675676,0.851851851851852,0.75,0.836065573770492,0.9,0.863636363636364,0.940298507462687,0.896103896103896,0.89041095890411,0.891891891891892,0.9,0.873015873015873,0.894736842105263,0.951807228915663,0.938775510204082,0.911111111111111,0.951807228915663,0.926829268292683,0.876543209876543,0.930232558139535,0.905882352941176,0.95,0.948717948717949,0.971830985915493,0.923076923076923,0.886363636363636,0.929411764705882,0.945945945945946
"142_1",0.78494623655914,0.672727272727273,0.725490196078431,0.870967741935484,0,0.603960396039604,0.859154929577465,0.634782608695652,0.663157894736842,0.683168316831683,0.726315789473684,0.777777777777778,0.676767676767677,0.702970297029703,0.686274509803922,0.873417721518987,0.807017543859649,0.743119266055046,0.669565217391304,0.894736842105263,0.96875,0.855072463768116,0.864864864864865,0.897435897435897,0.929824561403509,0.859154929577465,0.607142857142857,0.663551401869159,0.822784810126582,0.752380952380952,0.733333333333333,0.802197802197802,0.928571428571429,0.828571428571429,0.757575757575758,0.769230769230769,0.761467889908257,0.791304347826087,0.901234567901235,0.833333333333333,0.853211009174312,0.64,0.759259259259259,0.747368421052632,0.613636363636364,0.695238095238095,0.8,0.663157894736842,0.666666666666667,0.782178217821782,0.714285714285714,0.739130434782609,0.68,0.617977528089888,0.644859813084112,0.654545454545455,0.711340206185567,0.752808988764045,0.888888888888889,0.970149253731343,0.72972972972973,0.804878048780488,0.92,0.7,0.755555555555556,0.760869565217391,0.755102040816326,0.652173913043478,0.746478873239437,0.69811320754717,0.672727272727273,0.82,0.591836734693878,0.752577319587629,0.591836734693878,0.773584905660377,0.752380952380952,0.679012345679012,0.673076923076923,0.729166666666667,0.717647058823529,0.729166666666667,0.746835443037975,0.63302752293578,0.619047619047619,0.82089552238806,0.772151898734177,0.831325301204819,0.695238095238095,0.850746268656716,0.666666666666667,0.651162790697674,0.802197802197802,0.777777777777778,0.702702702702703,0.670103092783505,0.663551401869159,0.70873786407767,0.711538461538461,0.636363636363636,0.698924731182796,0.754716981132076,0.752212389380531,0.765625,0.733333333333333,0.787610619469026,0.732142857142857,0.765765765765766,0.775862068965517,0.808695652173913,0.781818181818182,0.722222222222222,0.722772277227723,0.833333333333333,0.813559322033898,0.843478260869565,0.711538461538461
"142_12",0.686274509803922,0.680672268907563,0.63963963963964,0.802816901408451,0.603960396039604,0,0.8,0.661290322580645,0.576923076923077,0.727272727272727,0.653846153846154,0.692307692307692,0.685185185185185,0.636363636363636,0.675675675675676,0.795454545454545,0.707317073170732,0.694915254237288,0.693548387096774,0.939393939393939,0.917808219178082,0.794871794871795,0.855421686746988,0.885057471264368,0.909090909090909,0.875,0.68595041322314,0.620689655172414,0.818181818181818,0.719298245614035,0.666666666666667,0.76,0.969230769230769,0.807017543859649,0.685185185185185,0.769911504424779,0.711864406779661,0.709677419354839,0.888888888888889,0.790476190476191,0.745762711864407,0.724770642201835,0.726495726495727,0.673076923076923,0.587628865979381,0.719298245614035,0.797752808988764,0.653846153846154,0.657657657657658,0.709090909090909,0.663551401869159,0.612903225806452,0.724770642201835,0.653061224489796,0.603448275862069,0.714285714285714,0.754716981132076,0.755102040816326,0.936507936507937,0.947368421052632,0.666666666666667,0.846153846153846,0.932203389830508,0.706422018348624,0.777777777777778,0.722772277227723,0.682242990654206,0.623762376237624,0.825,0.652173913043478,0.613445378151261,0.743119266055046,0.663551401869159,0.660377358490566,0.644859813084112,0.652173913043478,0.684210526315789,0.711111111111111,0.557522123893805,0.695238095238095,0.595744680851064,0.676190476190476,0.681818181818182,0.593220338983051,0.578947368421053,0.789473684210526,0.727272727272727,0.717391304347826,0.666666666666667,0.842105263157895,0.741935483870968,0.621052631578947,0.78,0.757575757575758,0.831325301204819,0.69811320754717,0.637931034482759,0.660714285714286,0.557522123893805,0.680672268907563,0.588235294117647,0.721739130434783,0.721311475409836,0.708029197080292,0.674418604651163,0.60655737704918,0.652892561983471,0.666666666666667,0.664,0.661290322580645,0.764705882352941,0.743589743589744,0.781818181818182,0.794871794871795,0.700787401574803,0.758064516129032,0.734513274336283
"142_13",0.888888888888889,0.842696629213483,0.876543209876543,0.609756097560976,0.859154929577465,0.8,0,0.787234042553191,0.756756756756757,0.9,0.783783783783784,0.816091954022989,0.897435897435897,0.775,0.654320987654321,0.655172413793103,0.870967741935484,0.909090909090909,0.872340425531915,0.722222222222222,0.720930232558139,0.791666666666667,0.660377358490566,0.614035087719298,0.722222222222222,0.64,0.824175824175824,0.837209302325581,0.724137931034483,0.785714285714286,0.714285714285714,0.6,0.828571428571429,0.714285714285714,0.871794871794872,0.855421686746988,0.863636363636364,0.851063829787234,0.7,0.813333333333333,0.863636363636364,0.822784810126582,0.954022988505747,0.945945945945946,0.761194029850746,0.80952380952381,0.661016949152542,0.837837837837838,0.82716049382716,0.725,0.74025974025974,0.851063829787234,0.848101265822785,0.735294117647059,0.767441860465116,0.797752808988764,0.736842105263158,0.735294117647059,0.818181818181818,0.782608695652174,0.866666666666667,0.836065573770492,0.862068965517241,0.848101265822785,0.739130434782609,0.661971830985915,0.714285714285714,0.830985915492958,0.84,0.882352941176471,0.842696629213483,0.949367088607595,0.844155844155844,0.921052631578947,0.844155844155844,0.741176470588235,0.666666666666667,0.7,0.879518072289157,0.813333333333333,0.8125,0.68,0.620689655172414,0.772727272727273,0.857142857142857,0.91304347826087,0.827586206896552,0.774193548387097,0.857142857142857,0.826086956521739,0.841269841269841,0.784615384615385,0.971428571428572,0.942028985507246,0.886792452830189,0.868421052631579,0.813953488372093,0.902439024390244,0.879518072289157,0.775280898876404,0.805555555555556,0.905882352941176,0.91304347826087,0.925233644859813,0.898989898989899,0.91304347826087,0.868131868131868,0.911111111111111,0.957894736842105,0.936170212765957,0.932584269662921,0.908045977011494,0.925,0.954022988505747,0.917525773195876,0.914893617021277,0.927710843373494
"142_3",0.706896551724138,0.699248120300752,0.696,0.835294117647059,0.634782608695652,0.661290322580645,0.787234042553191,0,0.677966101694915,0.741935483870968,0.745762711864407,0.725190839694656,0.704918032786885,0.725806451612903,0.712,0.862745098039216,0.781021897810219,0.696969696969697,0.753623188405797,0.925,0.908045977011494,0.847826086956522,0.855670103092784,0.881188118811881,0.875,0.872340425531915,0.703703703703704,0.692307692307692,0.803921568627451,0.703125,0.8125,0.789473684210526,0.924050632911392,0.765625,0.737704918032787,0.795275590551181,0.712121212121212,0.710144927536232,0.865384615384615,0.764705882352941,0.712121212121212,0.723577235772358,0.786259541984733,0.745762711864407,0.693693693693694,0.71875,0.825242718446602,0.728813559322034,0.6,0.709677419354839,0.71900826446281,0.753623188405797,0.772357723577236,0.732142857142857,0.707692307692308,0.639097744360902,0.8,0.732142857142857,0.922077922077922,0.955555555555555,0.731343283582089,0.771428571428571,0.917808219178082,0.707317073170732,0.805309734513274,0.791304347826087,0.768595041322314,0.652173913043478,0.808510638297872,0.720930232558139,0.699248120300752,0.723577235772358,0.619834710743802,0.733333333333333,0.636363636363636,0.689922480620155,0.75,0.673076923076923,0.590551181102362,0.714285714285714,0.648148148148148,0.680672268907563,0.725490196078431,0.590909090909091,0.703125,0.8,0.803921568627451,0.754716981132076,0.671875,0.844444444444445,0.719626168224299,0.651376146788991,0.789473684210526,0.699115044247788,0.752577319587629,0.75,0.676923076923077,0.666666666666667,0.637795275590551,0.639097744360902,0.655172413793103,0.627906976744186,0.573529411764706,0.695364238410596,0.65034965034965,0.632352941176471,0.659259259259259,0.671641791044776,0.654676258992806,0.63768115942029,0.684210526315789,0.603053435114504,0.645161290322581,0.66412213740458,0.631205673758865,0.565217391304348,0.622047244094488
"142_4",0.75,0.52212389380531,0.542857142857143,0.753846153846154,0.663157894736842,0.576923076923077,0.756756756756757,0.677966101694915,0,0.596153846153846,0.530612244897959,0.567567567567568,0.588235294117647,0.596153846153846,0.638095238095238,0.780487804878049,0.606837606837607,0.642857142857143,0.694915254237288,0.9,0.880597014925373,0.805555555555556,0.74025974025974,0.82716049382716,0.8,0.783783783783784,0.68695652173913,0.672727272727273,0.707317073170732,0.592592592592593,0.666666666666667,0.680851063829787,0.898305084745763,0.740740740740741,0.627450980392157,0.700934579439252,0.678571428571429,0.610169491525424,0.785714285714286,0.696969696969697,0.678571428571429,0.631067961165048,0.567567567567568,0.653061224489796,0.604395604395604,0.62962962962963,0.662650602409639,0.612244897959184,0.619047619047619,0.615384615384615,0.584158415841584,0.559322033898305,0.669902912621359,0.695652173913043,0.618181818181818,0.52212389380531,0.64,0.673913043478261,0.859649122807018,0.885714285714286,0.614035087719298,0.717647058823529,0.962264150943396,0.592233009708738,0.67741935483871,0.642105263157895,0.623762376237624,0.6,0.783783783783784,0.577981651376147,0.539823008849557,0.689320388349514,0.643564356435643,0.54,0.623762376237624,0.614678899082569,0.555555555555556,0.619047619047619,0.682242990654206,0.717171717171717,0.727272727272727,0.656565656565657,0.707317073170732,0.553571428571429,0.62962962962963,0.771428571428571,0.682926829268293,0.767441860465116,0.574074074074074,0.771428571428571,0.586206896551724,0.595505617977528,0.723404255319149,0.67741935483871,0.766233766233766,0.76,0.672727272727273,0.716981132075472,0.663551401869159,0.699115044247788,0.604166666666667,0.724770642201835,0.706896551724138,0.740458015267176,0.707317073170732,0.741379310344828,0.739130434782609,0.789473684210526,0.697478991596639,0.76271186440678,0.752212389380531,0.711711711711712,0.730769230769231,0.783783783783784,0.752066115702479,0.76271186440678,0.794392523364486
"142_5",0.764705882352941,0.579831932773109,0.711711711711712,0.887323943661972,0.683168316831683,0.727272727272727,0.9,0.741935483870968,0.596153846153846,0,0.692307692307692,0.58974358974359,0.574074074074074,0.690909090909091,0.621621621621622,0.840909090909091,0.642276422764228,0.559322033898305,0.564516129032258,0.96969696969697,0.89041095890411,0.794871794871795,0.903614457831325,0.908045977011494,0.909090909090909,0.875,0.68595041322314,0.741379310344828,0.75,0.614035087719298,0.807017543859649,0.8,0.938461538461538,0.771929824561403,0.666666666666667,0.734513274336283,0.694915254237288,0.661290322580645,0.866666666666667,0.695238095238095,0.76271186440678,0.669724770642202,0.623931623931624,0.615384615384615,0.731958762886598,0.736842105263158,0.752808988764045,0.653846153846154,0.657657657657658,0.745454545454545,0.682242990654206,0.612903225806452,0.724770642201835,0.775510204081633,0.689655172413793,0.563025210084034,0.773584905660377,0.836734693877551,0.968253968253968,0.894736842105263,0.683333333333333,0.78021978021978,0.966101694915254,0.596330275229358,0.797979797979798,0.841584158415842,0.757009345794392,0.683168316831683,0.8,0.617391304347826,0.529411764705882,0.651376146788991,0.700934579439252,0.584905660377359,0.719626168224299,0.582608695652174,0.719298245614035,0.777777777777778,0.823008849557522,0.733333333333333,0.829787234042553,0.752380952380952,0.818181818181818,0.728813559322034,0.789473684210526,0.815789473684211,0.818181818181818,0.739130434782609,0.543859649122807,0.763157894736842,0.763440860215054,0.684210526315789,0.74,0.696969696969697,0.662650602409639,0.754716981132076,0.689655172413793,0.75,0.787610619469026,0.73109243697479,0.686274509803922,0.669565217391304,0.737704918032787,0.751824817518248,0.782945736434109,0.80327868852459,0.801652892561983,0.75,0.792,0.774193548387097,0.73109243697479,0.743589743589744,0.745454545454545,0.829059829059829,0.795275590551181,0.806451612903226,0.769911504424779
