"site2","103_2","103_3","103_5","103_8","112_12","112_3","112_8","125_5","125_6","125_9","129_10","129_11","129_5","157_2","157_3","157_4","157_5","157_6","157_8","160_10","160_11","160_5","160_8","165_1","165_4","165_5","165_7","199_3","199_6","199_9","236_2","236_3","236_4","236_5","236_6","236_7","260_1","260_2","260_3","260_4","260_5","260_6","261_1","261_10","261_11","261_12","261_2","261_3","261_4","261_5","261_6","261_7","261_8","261_9","307_1","307_2","307_3","307_5","307_7","357_2","357_3","357_4","357_6","357_9","363_3","363_4","363_5","363_6","363_7","363_8","399_10","399_12","399_3","399_5","399_6","399_7","399_8","399_9","69_10","69_11","69_2","69_6","69_8","81_11","81_15","81_3","81_7","81_9","99_10","99_4","99_6","99_7","99_8","Extra_1","Extra_2","Extra_3","Extra_4","Extra_5"
"103_2",0,0.862745098039216,0.727272727272727,0.844827586206897,0.923076923076923,0.689655172413793,0.877862595419847,0.775510204081633,0.726495726495727,0.823529411764706,0.792452830188679,0.849056603773585,0.828571428571429,0.847222222222222,0.784615384615385,0.927927927927928,0.831168831168831,0.900826446280992,0.831775700934579,0.912087912087912,0.805309734513274,0.798165137614679,0.866666666666667,0.790476190476191,0.905660377358491,0.873873873873874,0.868852459016394,0.929824561403509,0.821782178217822,0.842105263157895,0.909090909090909,0.873873873873874,0.844660194174757,0.904761904761905,0.982142857142857,0.88785046728972,0.958333333333333,0.851851851851852,0.90990990990991,0.915254237288136,0.855855855855856,0.9,0.906976744186047,0.919354838709677,0.981651376146789,0.875,0.92,0.948717948717949,0.947826086956522,0.874015748031496,0.896296296296296,0.922330097087379,0.887096774193548,0.919354838709677,0.851351351351351,0.946902654867257,0.909090909090909,0.952,0.969230769230769,0.88785046728972,0.78021978021978,0.846153846153846,0.876288659793814,0.755102040816326,0.899159663865546,0.867768595041322,0.841269841269841,0.882352941176471,0.9,0.923809523809524,0.792592592592593,0.825,0.917525773195876,0.876923076923077,0.928571428571429,0.900990099009901,0.747747747747748,0.914893617021277,0.81981981981982,0.721739130434783,0.724770642201835,0.784313725490196,0.853211009174312,0.743589743589744,0.92156862745098,0.746268656716418,0.763636363636364,0.924528301886792,0.745454545454545,0.747368421052632,0.775700934579439,0.838383838383838,0.754716981132076,0.872,0.873015873015873,0.929203539823009,0.918367346938775,0.893805309734513
"103_3",0.862745098039216,0,0.722222222222222,0.64,0.863636363636364,0.82,0.773913043478261,0.75609756097561,0.722772277227723,0.65,0.844444444444445,0.822222222222222,0.752808988764045,0.765625,0.859649122807018,0.873684210526316,0.826086956521739,0.866666666666667,0.802197802197802,0.866666666666667,0.649484536082474,0.763440860215054,0.72972972972973,0.797752808988764,0.777777777777778,0.831578947368421,0.69811320754717,0.714285714285714,0.741176470588235,0.653061224489796,0.808510638297872,0.831578947368421,0.793103448275862,0.775280898876404,0.875,0.824175824175824,0.90625,0.760869565217391,0.936842105263158,0.882352941176471,0.747368421052632,0.903846153846154,0.84070796460177,0.888888888888889,0.956989247311828,0.895833333333333,0.944954128440367,0.920792079207921,0.818181818181818,0.891891891891892,0.915966386554622,0.816091954022989,0.888888888888889,0.888888888888889,0.803030303030303,0.876288659793814,0.851063829787234,0.889908256880734,0.807017543859649,0.824175824175824,0.866666666666667,0.838709677419355,0.802469135802469,0.804878048780488,0.825242718446602,0.847619047619048,0.854545454545454,0.864077669902913,0.942307692307692,0.865168539325843,0.815126050420168,0.9375,0.901234567901235,0.894736842105263,0.854838709677419,0.764705882352941,0.831578947368421,0.82051282051282,0.726315789473684,0.858585858585859,0.806451612903226,0.813953488372093,0.763440860215054,0.821782178217822,0.837209302325581,0.813559322033898,0.787234042553191,0.844444444444445,0.765957446808511,0.848101265822785,0.736263736263736,0.759036144578313,0.755555555555556,0.81651376146789,0.818181818181818,0.814432989690722,0.829268292682927,0.793814432989691
"103_5",0.727272727272727,0.722222222222222,0,0.744186046511628,0.72972972972973,0.813953488372093,0.821782178217822,0.705882352941176,0.67816091954023,0.773584905660377,0.947368421052632,0.657894736842105,0.84,0.824561403508772,0.84,0.777777777777778,0.854838709677419,0.868131868131868,0.766233766233766,0.836065573770492,0.783132530120482,0.89873417721519,0.733333333333333,0.786666666666667,0.868421052631579,0.728395061728395,0.760869565217391,0.857142857142857,0.802816901408451,0.761904761904762,0.85,0.851851851851852,0.753424657534246,0.893333333333333,0.853658536585366,0.766233766233766,0.929824561403509,0.846153846153846,0.851851851851852,0.954545454545455,0.802469135802469,0.977777777777778,0.898989898989899,0.851063829787234,0.924050632911392,0.829268292682927,0.936842105263158,0.954022988505747,0.858823529411765,0.917525773195876,0.923809523809524,0.835616438356164,0.936170212765957,0.936170212765957,0.847457627118644,0.975903614457831,0.825,0.91578947368421,0.9,0.844155844155844,0.901639344262295,0.833333333333333,0.671641791044776,0.617647058823529,0.797752808988764,0.89010989010989,0.854166666666667,0.865168539325843,0.844444444444445,0.76,0.847619047619048,0.76,0.791044776119403,0.9,0.909090909090909,0.802816901408451,0.777777777777778,0.875,0.777777777777778,0.882352941176471,0.772151898734177,0.583333333333333,0.746835443037975,0.816091954022989,0.805555555555556,0.865384615384615,0.85,0.736842105263158,0.75,0.815384615384615,0.662337662337662,0.884057971014493,0.736842105263158,0.894736842105263,0.875,0.783132530120482,0.852941176470588,0.927710843373494
"103_8",0.844827586206897,0.64,0.744186046511628,0,0.745098039215686,0.789473684210526,0.782945736434109,0.75,0.652173913043478,0.656716417910448,0.788461538461539,0.769230769230769,0.70873786407767,0.71830985915493,0.796875,0.81651376146789,0.776315789473684,0.798319327731092,0.771428571428571,0.842696629213483,0.657657657657658,0.738317757009346,0.704545454545455,0.786407766990291,0.711538461538461,0.798165137614679,0.683333333333333,0.714285714285714,0.717171717171717,0.660714285714286,0.722222222222222,0.706422018348624,0.702970297029703,0.766990291262136,0.818181818181818,0.771428571428571,0.845070422535211,0.716981132075472,0.779816513761468,0.844827586206897,0.724770642201835,0.864406779661017,0.874015748031496,0.819672131147541,0.925233644859813,0.854545454545454,0.821138211382114,0.895652173913043,0.769911504424779,0.904,0.864661654135338,0.841584158415842,0.868852459016394,0.852459016393443,0.753424657534246,0.891891891891892,0.796296296296296,0.83739837398374,0.78125,0.733333333333333,0.842696629213483,0.815789473684211,0.831578947368421,0.770833333333333,0.846153846153846,0.848739495798319,0.82258064516129,0.811965811965812,0.813559322033898,0.825242718446602,0.849624060150376,0.923076923076923,0.873684210526316,0.84375,0.855072463768116,0.757575757575758,0.761467889908257,0.847826086956522,0.651376146788991,0.787610619469026,0.757009345794392,0.78,0.700934579439252,0.756521739130435,0.8,0.803030303030303,0.814814814814815,0.769230769230769,0.740740740740741,0.806451612903226,0.752380952380952,0.752577319587629,0.769230769230769,0.821138211382114,0.82258064516129,0.801801801801802,0.875,0.855855855855856
"112_12",0.923076923076923,0.863636363636364,0.72972972972973,0.745098039215686,0,0.745098039215686,0.692307692307692,0.761904761904762,0.786407766990291,0.688524590163935,0.826086956521739,0.630434782608696,0.758241758241758,0.707692307692308,0.724137931034483,0.463917525773196,0.771428571428571,0.757009345794392,0.67741935483871,0.688311688311688,0.757575757575758,0.726315789473684,0.605263157894737,0.846153846153846,0.826086956521739,0.670103092783505,0.722222222222222,0.74,0.724137931034483,0.72,0.604166666666667,0.711340206185567,0.685393258426966,0.736263736263736,0.551020408163265,0.612903225806452,0.707692307692308,0.787234042553191,0.711340206185567,0.692307692307692,0.711340206185567,0.792452830188679,0.791304347826087,0.781818181818182,0.726315789473684,0.714285714285714,0.765765765765766,0.766990291262136,0.603960396039604,0.787610619469026,0.752066115702479,0.820224719101124,0.854545454545454,0.763636363636364,0.746268656716418,0.797979797979798,0.5625,0.63963963963964,0.741379310344828,0.634408602150538,0.792207792207792,0.84375,0.710843373493976,0.666666666666667,0.676190476190476,0.700934579439252,0.821428571428571,0.657142857142857,0.566037735849057,0.538461538461539,0.834710743801653,0.909090909090909,0.710843373493976,0.758620689655172,0.857142857142857,0.586206896551724,0.77319587628866,0.625,0.690721649484536,0.841584158415842,0.663157894736842,0.795454545454545,0.6,0.70873786407767,0.454545454545455,0.716666666666667,0.8125,0.630434782608696,0.75,0.851851851851852,0.741935483870968,0.741176470588235,0.826086956521739,0.81981981981982,0.732142857142857,0.535353535353535,0.595238095238095,0.797979797979798
"112_3",0.689655172413793,0.82,0.813953488372093,0.789473684210526,0.745098039215686,0,0.736434108527132,0.8125,0.773913043478261,0.716417910447761,0.557692307692308,0.711538461538461,0.592233009708738,0.788732394366197,0.765625,0.853211009174312,0.723684210526316,0.899159663865546,0.80952380952381,0.797752808988764,0.711711711711712,0.644859813084112,0.818181818181818,0.844660194174757,0.846153846153846,0.834862385321101,0.766666666666667,0.803571428571429,0.737373737373737,0.785714285714286,0.814814814814815,0.834862385321101,0.841584158415842,0.883495145631068,0.854545454545454,0.80952380952381,0.845070422535211,0.754716981132076,0.889908256880734,0.827586206896552,0.798165137614679,0.932203389830508,0.779527559055118,0.868852459016394,0.88785046728972,0.818181818181818,0.83739837398374,0.843478260869565,0.858407079646018,0.792,0.864661654135338,0.861386138613861,0.786885245901639,0.819672131147541,0.780821917808219,0.891891891891892,0.833333333333333,0.869918699186992,0.921875,0.828571428571429,0.685393258426966,0.815789473684211,0.810526315789474,0.708333333333333,0.863247863247863,0.831932773109244,0.774193548387097,0.829059829059829,0.796610169491526,0.844660194174757,0.759398496240602,0.871794871794872,0.873684210526316,0.875,0.869565217391304,0.757575757575758,0.779816513761468,0.847826086956522,0.724770642201835,0.68141592920354,0.719626168224299,0.78,0.794392523364486,0.6,0.82,0.621212121212121,0.685185185185185,0.826923076923077,0.796296296296296,0.870967741935484,0.752380952380952,0.835051546391752,0.826923076923077,0.788617886178862,0.725806451612903,0.747747747747748,0.875,0.693693693693694
"112_8",0.877862595419847,0.773913043478261,0.821782178217822,0.782945736434109,0.692307692307692,0.736434108527132,0,0.837837837837838,0.830769230769231,0.704697986577181,0.73109243697479,0.815126050420168,0.677966101694915,0.707006369426752,0.664335664335664,0.790322580645161,0.688622754491018,0.761194029850746,0.766666666666667,0.788461538461539,0.873015873015873,0.721311475409836,0.766990291262136,0.88135593220339,0.882352941176471,0.725806451612903,0.777777777777778,0.779527559055118,0.842105263157895,0.795275590551181,0.75609756097561,0.790322580645161,0.810344827586207,0.830508474576271,0.808,0.75,0.643312101910828,0.785123966942149,0.709677419354839,0.679389312977099,0.774193548387097,0.744360902255639,0.746478873239437,0.766423357664234,0.770491803278688,0.68,0.72463768115942,0.8,0.6875,0.685714285714286,0.716216216216216,0.758620689655172,0.751824817518248,0.722627737226277,0.677018633540373,0.80952380952381,0.772357723577236,0.72463768115942,0.79020979020979,0.75,0.807692307692308,0.846153846153846,0.8,0.801801801801802,0.757575757575758,0.701492537313433,0.755395683453237,0.772727272727273,0.759398496240602,0.796610169491526,0.743243243243243,0.870967741935484,0.854545454545454,0.748251748251748,0.803921568627451,0.771929824561403,0.725806451612903,0.813084112149533,0.790322580645161,0.796875,0.786885245901639,0.878260869565217,0.721311475409836,0.676923076923077,0.721739130434783,0.700680272108843,0.788617886178862,0.697478991596639,0.853658536585366,0.962962962962963,0.783333333333333,0.857142857142857,0.831932773109244,0.695652173913043,0.683453237410072,0.73015873015873,0.81981981981982,0.666666666666667
"125_5",0.775510204081633,0.75609756097561,0.705882352941176,0.75,0.761904761904762,0.8125,0.837837837837838,0,0.649484536082474,0.741379310344828,0.837209302325581,0.697674418604651,0.788235294117647,0.758064516129032,0.818181818181818,0.758241758241758,0.850746268656716,0.821782178217822,0.609195402298851,0.774647887323944,0.612903225806452,0.842696629213483,0.6,0.788235294117647,0.86046511627907,0.692307692307692,0.882352941176471,0.787234042553191,0.654320987654321,0.638297872340426,0.8,0.802197802197802,0.734939759036145,0.811764705882353,0.826086956521739,0.862068965517241,0.870967741935484,0.795454545454545,0.78021978021978,0.836734693877551,0.736263736263736,0.9,0.834862385321101,0.788461538461539,0.865168539325843,0.760869565217391,0.904761904761905,0.855670103092784,0.831578947368421,0.775700934579439,0.91304347826087,0.807228915662651,0.846153846153846,0.826923076923077,0.8125,0.935483870967742,0.755555555555556,0.847619047619048,0.927272727272727,0.816091954022989,0.802816901408451,0.827586206896552,0.87012987012987,0.794871794871795,0.777777777777778,0.881188118811881,0.886792452830189,0.797979797979798,0.8,0.811764705882353,0.860869565217391,0.666666666666667,0.844155844155844,0.890909090909091,0.966666666666667,0.777777777777778,0.78021978021978,0.810810810810811,0.67032967032967,0.810526315789474,0.640449438202247,0.634146341463415,0.730337078651685,0.731958762886598,0.707317073170732,0.87719298245614,0.866666666666667,0.790697674418605,0.733333333333333,0.733333333333333,0.540229885057471,0.772151898734177,0.604651162790698,0.828571428571429,0.811320754716981,0.720430107526882,0.769230769230769,0.849462365591398
"125_6",0.726495726495727,0.722772277227723,0.67816091954023,0.652173913043478,0.786407766990291,0.773913043478261,0.830769230769231,0.649484536082474,0,0.555555555555556,0.771428571428571,0.714285714285714,0.653846153846154,0.622377622377622,0.751937984496124,0.818181818181818,0.764705882352941,0.75,0.69811320754717,0.755555555555556,0.607142857142857,0.796296296296296,0.707865168539326,0.788461538461539,0.733333333333333,0.8,0.702479338842975,0.769911504424779,0.66,0.592920353982301,0.743119266055046,0.763636363636364,0.686274509803922,0.769230769230769,0.873873873873874,0.811320754716981,0.86013986013986,0.663551401869159,0.818181818181818,0.829059829059829,0.709090909090909,0.882352941176471,0.84375,0.83739837398374,0.907407407407407,0.81981981981982,0.887096774193548,0.879310344827586,0.842105263157895,0.80952380952381,0.850746268656716,0.823529411764706,0.821138211382114,0.869918699186992,0.755102040816326,0.910714285714286,0.81651376146789,0.838709677419355,0.782945736434109,0.754716981132076,0.777777777777778,0.844155844155844,0.8125,0.731958762886598,0.830508474576271,0.8,0.808,0.813559322033898,0.831932773109244,0.788461538461539,0.865671641791045,0.822784810126582,0.854166666666667,0.875968992248062,0.899280575539568,0.76,0.745454545454545,0.849462365591398,0.563636363636364,0.754385964912281,0.740740740740741,0.663366336633663,0.722222222222222,0.689655172413793,0.762376237623762,0.879699248120301,0.743119266055046,0.771428571428571,0.577981651376147,0.659574468085106,0.584905660377359,0.73469387755102,0.561904761904762,0.790322580645161,0.776,0.75,0.77319587628866,0.803571428571429
"125_9",0.823529411764706,0.65,0.773584905660377,0.656716417910448,0.688524590163935,0.716417910447761,0.704697986577181,0.741379310344828,0.555555555555556,0,0.790322580645161,0.725806451612903,0.691056910569106,0.506172839506173,0.702702702702703,0.767441860465116,0.709302325581395,0.697841726618705,0.744,0.688073394495413,0.603053435114504,0.700787401574803,0.685185185185185,0.75609756097561,0.709677419354839,0.705426356589147,0.642857142857143,0.636363636363636,0.680672268907563,0.606060606060606,0.625,0.689922480620155,0.68595041322314,0.723577235772358,0.723076923076923,0.712,0.790123456790123,0.73015873015873,0.751937984496124,0.676470588235294,0.674418604651163,0.884057971014493,0.727891156462585,0.774647887323944,0.795275590551181,0.692307692307692,0.818181818181818,0.851851851851852,0.744360902255639,0.820689655172414,0.751633986928105,0.752066115702479,0.788732394366197,0.816901408450704,0.698795180722892,0.786259541984733,0.75,0.79020979020979,0.635135135135135,0.712,0.834862385321101,0.875,0.773913043478261,0.810344827586207,0.824817518248175,0.741007194244604,0.791666666666667,0.722627737226277,0.753623188405797,0.772357723577236,0.790849673202614,0.897959183673469,0.826086956521739,0.783783783783784,0.822784810126582,0.73109243697479,0.751937984496124,0.75,0.612403100775194,0.789473684210526,0.68503937007874,0.766666666666667,0.590551181102362,0.718518518518519,0.633333333333333,0.776315789473684,0.703125,0.67741935483871,0.671875,0.769911504424779,0.664,0.658119658119658,0.661290322580645,0.72027972027972,0.736111111111111,0.66412213740458,0.672413793103448,0.709923664122137
