"","UF","LF","LBF","SF"
"UF",0.0438837857515098,NA,NA,NA
"LF",0.0547567984211319,0.0500464117513192,NA,NA
"LBF",0.0675786880170978,0.0613303962743225,0.0639106424820071,NA
"SF",0.0743130855677395,0.072028491338848,0.0731600731241506,0.0643611553306935
