"","UF","LF","LBF","SF"
"UF",0.480412826120908,NA,NA,NA
"LF",0.741950864111495,0.692652414940151,NA,NA
"LBF",0.89427294499766,0.804035897719238,0.757221253660033,NA
"SF",0.935076693202761,0.882352390114141,0.858257099781718,0.732050074708245
