"","UF","LF","LBF","SF"
"UF",0.0528537757826536,NA,NA,NA
"LF",0.0550745235581303,0.0542629465015911,NA,NA
"LBF",0.0571314137558324,0.0585767371600679,0.0563831995763034,NA
"SF",0.0634417304542259,0.0645609919334884,0.062483482064454,0.05714209395965
