"","UF","LF","LBF","SF"
"UF",0.0509584800186587,NA,NA,NA
"LF",0.109082873588193,0.0923300359836491,NA,NA
"LBF",0.191336637185377,0.181028346162112,0.230029459348099,NA
"SF",0.17455041270076,0.190660223007933,0.243704490362869,0.203809961430047
