"","UF","LF","LBF","SF"
"UF",0.145107000201626,NA,NA,NA
"LF",0.136791537671007,0.124224888042479,NA,NA
"LBF",0.194344198472107,0.183489229154779,0.202292520368031,NA
"SF",0.3062157945233,0.299905736183876,0.299034695153562,0.31370214323932
