"","UF","LF","LBF","SF"
"UF",0.140240913196362,NA,NA,NA
"LF",0.13655661316672,0.122713533459902,NA,NA
"LBF",0.156937132721358,0.154656318578271,0.155305438966146,NA
"SF",0.272582229935972,0.272843417246005,0.266606824980239,0.25137779378993
