"","UF","LF","LBF","SF"
"UF",0.0832428453895542,NA,NA,NA
"LF",0.0818352131846832,0.0751122628648907,NA,NA
"LBF",0.0901922091440426,0.0882605383642856,0.0849887262716084,NA
"SF",0.223894831312042,0.213607314883839,0.202035709674977,0.199769545385622
