"","UF","LF","LBF","SF"
"UF",0.732608505989331,NA,NA,NA
"LF",0.734701319200997,0.706120678934416,NA,NA
"LBF",0.781134928352214,0.772491619293219,0.743460090703291,NA
"SF",0.887797251223657,0.880603269796647,0.838612534873821,0.74534680700955
