"","UF","LF","LBF","SF"
"UF",0.04842760123963,NA,NA,NA
"LF",0.0623138786249224,0.0571069703851045,NA,NA
"LBF",0.074474637927941,0.0679343164503721,0.0711090190719121,NA
"SF",0.0935971578795513,0.0858460570602471,0.0850035233330487,0.0738334700804139
