"","UF","LF","LBF","SF"
"UF",0.432313003023299,NA,NA,NA
"LF",0.525127509858463,0.473077824162477,NA,NA
"LBF",0.598015583442563,0.532144787746902,0.521638824181105,NA
"SF",0.648483476089827,0.612782663218289,0.589453562363404,0.499699135604264
