"","UF","LF","LBF","SF"
"UF",0.135650565797677,NA,NA,NA
"LF",0.234927473092341,0.20665446246812,NA,NA
"LBF",0.346900059841137,0.287993520019888,0.309380773597349,NA
"SF",0.474351864998915,0.405372290399566,0.41378863054042,0.324134841028763
