"","UF","LF","LBF","SF"
"UF",0.75171970700848,NA,NA,NA
"LF",0.747662634668479,0.710720103904629,NA,NA
"LBF",0.784412961839728,0.774834352993483,0.747625162940218,NA
"SF",0.830392140191787,0.822234166425342,0.804613237325246,0.732506561006766
