"","UF","LF","LBF","SF"
"UF",0.599470881929714,NA,NA,NA
"LF",0.739793739977045,0.665438443382177,NA,NA
"LBF",0.80386933294516,0.727734474915809,0.717091601097092,NA
"SF",0.926524840959829,0.848867593703353,0.81016754859671,0.690571999423715
