"","UF","LF","LBF","SF"
"UF",0.247288632123269,NA,NA,NA
"LF",0.240078760847626,0.224512960167695,NA,NA
"LBF",0.297116431716836,0.285005765159854,0.288367706044215,NA
"SF",0.40501750336281,0.40079377847097,0.380115127561128,0.366724520376957
