"","UF","LF","LBF","SF"
"UF",0.391428990047613,NA,NA,NA
"LF",0.655663194803772,0.627042645935892,NA,NA
"LBF",0.839227655243364,0.749224754070021,0.690173525230412,NA
"SF",0.978359507004755,0.900067458530298,0.862187472698198,0.737255403602939
