"","UF","LF","LBF","SF"
"UF",0.0563854708560539,NA,NA,NA
"LF",0.140382935652897,0.125509872468395,NA,NA
"LBF",0.298272043067469,0.246839294307522,0.288080956717716,NA
"SF",0.364367914151826,0.303289857114314,0.352515923451876,0.285556132890085
