"Region","Plot","Order.q","Size","qD","qAUC","qPD","Degrad"
"PGM","100_3",0,"large",47,7.52947104939619,15.7969258061135,"Logged-and-burned"
"PGM","100_3",1,"large",38.0149570381053,6.29856242853607,5.36866804861497,"Logged-and-burned"
"PGM","100_3",2,"large",26.2409638554217,5.05968955296714,2.28132210506393,"Logged-and-burned"
"PGM","100_5",0,"large",64,9.57068711037463,21.0580213067523,"Logged"
"PGM","100_5",1,"large",48.5687901025981,7.10680045984637,6.24005835286959,"Logged"
"PGM","100_5",2,"large",35.9291338582677,5.45981294519862,2.46417981829715,"Logged"
"PGM","100_6",0,"large",56,9.09529126420125,19.6481352734537,"Logged-and-burned"
"PGM","100_6",1,"large",43.2620206694299,7.21279851579489,6.29136314009591,"Logged-and-burned"
"PGM","100_6",2,"large",31.2591362126246,5.71276839091151,2.5248120441407,"Logged-and-burned"
"PGM","100_9",0,"large",16,4.06333753463035,7.79384570623964,"Logged-and-burned"
"PGM","100_9",1,"large",13.6940363996085,3.55482397750186,4.56387033498598,"Logged-and-burned"
"PGM","100_9",2,"large",11.967032967033,3.28932137352584,2.67965401618357,"Logged-and-burned"
"PGM","142_1",0,"large",46,7.34772201378539,16.7858690489111,"Logged"
"PGM","142_1",1,"large",37.0045269734056,5.90932258565905,5.56440537110061,"Logged"
"PGM","142_1",2,"large",29.7794117647059,4.99337227525115,2.35974887402228,"Logged"
"PGM","142_12",0,"large",55,8.66188823513552,18.5712576361907,"Logged-and-burned"
"PGM","142_12",1,"large",32.9866323129973,5.90661101956889,5.16501068091963,"Logged-and-burned"
"PGM","142_12",2,"large",19.0315315315315,4.35214310325098,2.25197604269133,"Logged-and-burned"
"PGM","142_13",0,"large",25,4.75209921168918,11.6485393024737,"Secondary forest"
"PGM","142_13",1,"large",14.6191777391655,3.30532258886062,5.08878463060998,"Secondary forest"
"PGM","142_13",2,"large",8.91203104786546,2.62288946272537,2.92376857651624,"Secondary forest"
"PGM","142_3",0,"large",69,9.23889061804224,22.0438532945305,"Logged"
"PGM","142_3",1,"large",55.359866031944,7.41953749181309,6.23067782253905,"Logged"
"PGM","142_3",2,"large",43.1025641025641,6.17718991537439,2.40104878211133,"Logged"
"PGM","142_4",0,"large",49,7.91967447517649,17.4641750906432,"Logged-and-burned"
"PGM","142_4",1,"large",35.6198626736977,6.23500306495842,6.13438436302124,"Logged-and-burned"
"PGM","142_4",2,"large",26.9754385964912,5.22182380456018,2.62680586954792,"Logged-and-burned"
"PGM","142_5",0,"large",55,8.58823921358289,18.4405126301425,"Logged"
"PGM","142_5",1,"large",43.6576190619834,6.85229230042167,6.07465226219944,"Logged"
"PGM","142_5",2,"large",35.5978835978836,5.83780440097051,2.51121253124711,"Logged"
"PGM","142_6",0,"large",49,8.25443421887593,19.1382140777547,"Logged-and-burned"
"PGM","142_6",1,"large",17.3442982954908,4.05844936925632,4.47442479276849,"Logged-and-burned"
"PGM","142_6",2,"large",6.44267453294002,2.50880535306876,2.06852698708302,"Logged-and-burned"
"PGM","147_1",0,"large",62,9.70056963693052,18.6266693941139,"Logged"
"PGM","147_1",1,"large",44.9089923355057,7.44744288493238,5.85213176807327,"Logged"
"PGM","147_1",2,"large",32,5.94371057984917,2.48821245644052,"Logged"
